Key,en,es,ar
Collect Data,Collect Data,Recopilar datos,جمع البيانات
Field Types,Field Types,Tipos de campo,أنواع الحقول
"This ticket is solved, you can","This ticket is solved, you can","Este ticket está solucionado, puedes",تم حل هذه التذكرة، يمكنك
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة
View All,View All,Ver todo,عرض الكل
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول""."
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Attachments,Attachments,Adjuntos,المرفقات
Charges,Charges,Cargos,رسوم
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة
Percent Charge,Percent Charge,Cargo porcentual,تهمة في المئة
Range,Range,Rango,يتراوح
Minimum Amount,Minimum Amount,Cantidad Mínima,الحد الأدنى للمبلغ
Maximum Amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ
Limit,Limit,Límite,حد
Daily Transfer Limit,Daily Transfer Limit,Límite de transferencia diaria,حد التحويل اليومي
Monthly Transfer Limit,Monthly Transfer Limit,Límite de transferencia mensual,حد التحويل الشهري
Admin,Admin,Administración,مسؤل
Developed by,Developed by,Desarrollado por,تم تطويره بواسطة
Settings,Settings,Ajustes,إعدادات
Language,Language,Idioma,لغة
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي
RTL Support,RTL Support,Soporte RTL,دعم RTL
Reset To Default,Reset To Default,Restablecer los valores predeterminados,إعادة التعيين إلى الافتراضي
Notification,Notification,Notificación,إشعار
Clear All,Clear All,Borrar todo,مسح الكل
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Gold,Gold,Oro,ذهب
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال
Order Logs,Order Logs,Registros de pedidos,سجلات الطلب
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني
Admin Care,Admin Care,Atención administrativa,رعاية المشرف
Admin Role,Admin Role,Rol de administrador,دور المشرف
Role Permission,Role Permission,Permiso de rol,إذن الدور
Web Settings,Web Settings,Configuración web,إعدادات الويب
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق
Languages,Languages,Idiomas,اللغات
Money Out Settings,Money Out Settings,Configuración de retiro de dinero,إعدادات إخراج الأموال
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
About Us Section,About Us Section,Sección Acerca de nosotros,قسم عنا
Clients Feedback,Clients Feedback,Comentarios de los clientes,تعليقات العملاء
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت
Transaction ID,Transaction ID,ID de transacción,معرف المعاملة
Method,Method,Método,طريقة
After Charge,After Charge,Después de la carga,بعد الشحن
Payable,Payable,Pagadero,مستحق الدفع
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
Transaction information not submitted yet,Transaction information not submitted yet,Información de la transacción aún no enviada,لم يتم تقديم معلومات المعاملة بعد
SL NO,SL NO,SL NO,رقم SL
URI,URI,URI,URI
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
App Version,App Version,Versión de la aplicación,إصدار التطبيق
App Urls,App Urls,URL de aplicaciones,عناوين URL للتطبيق
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS
Reply,Reply,Responder,رد
Replyed,Replyed,Respondido,تم الرد
Not Replyed,Not Replyed,No respondido,لم يتم الرد
Send Reply,Send Reply,Enviar respuesta,إرسال الرد
Policy Link,Policy Link,Enlace de política,رابط السياسة
Gateways,Gateways,Puertas de enlace,بوابات
Crypto Wallets,Crypto Wallets,Carteras criptográficas,محافظ التشفير
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,La billetera no está presente en alguna moneda/moneda.,المحفظة غير موجودة في بعض العملات/العملات المعدنية.
Ex,Ex:,Ex:,السابق:
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón generar billeteras para crear billeteras dinámicamente.,انقر فوق زر إنشاء محافظ لإنشاء محافظ ديناميكيًا.
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,Esta moneda está en mantenimiento o necesita generar una billetera. Puede agregar billetera manualmente haciendo clic en el botón Agregar.,"هذه العملة تحت الصيانة أو تحتاج إلى إنشاء محفظة. يمكنك إضافة المحفظة يدويًا عن طريق النقر فوق زر ""إضافة""."
Add New Wallet,Add New Wallet,Agregar nueva billetera,إضافة محفظة جديدة
Delete Wallet,Delete Wallet,Eliminar billetera,حذف المحفظة
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟
Delete,Delete,Borrar,يمسح
Gateway Edit,Gateway Edit,Puerta de enlace Editar,تحرير البوابة
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة
Not Used,Not Used,No usado,غير مستخدم
Used,Used,Usado,مستخدم
Active,Active,Activo,نشيط
Weight,Weight,Peso,وزن
Golds,Golds,Oros,ذهبيات
Add Gold,Add Gold,Agregar oro,أضف الذهب
Plan Name,Plan Name,Nombre del plan,اسم الخطة
Plan Title (Optional),Plan Title (Optional),Título del plan (opcional),عنوان الخطة (اختياري)
Plan Duration(Day),Plan Duration(Day),Duración del plan (día),مدة الخطة (يوم)
Choose One,Choose One,Elige uno,اختر واحدًا
Daily,Daily,A diario,يوميًا
One Time,One Time,una vez,مرة واحدة
Minimum Investment,Minimum Investment,Inversión Mínima,الحد الأدنى للاستثمار
Minimum Investment Offer (Optional),Minimum Investment Offer (Optional),Oferta de inversión mínima (opcional),الحد الأدنى لعرض الاستثمار (اختياري)
Profit ,Profit ,Ganancia ,ربح 
Profit (Percentage),Profit (Percentage),Beneficio (porcentaje),الربح (النسبة المئوية)
Create,Create,Crear,يخلق
Plan Title,Plan Title,Título del plan,عنوان الخطة
Plans,Plans,Planes,الخطط
Create Plan,Create Plan,Crear plano,إنشاء خطة
Duration,Duration,Duración,مدة
Min Invest,Min Invest,Inversión mínima,مين استثمر
Offer,Offer,Oferta,يعرض
Max Invest,Max Invest,Inversión máxima,ماكس انفست
Fixed,Fixed,Fijado,مُثَبَّت
Daily Basis,Daily Basis,Base Diaria,أساس يومي
Add New,Add New,Agregar nuevo,أضف جديد
Import,Import,Importar,يستورد
Download,Download,Descargar,تحميل
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية
Order Details,Order Details,Detalles del pedido,تفاصيل الطلب
Gold Information,Gold Information,Información de oro,معلومات الذهب
Order Information,Order Information,Información del pedido,معلومات الطلب
Total Amount,Total Amount,Monto Total,المبلغ الإجمالي
Payment Type,Payment Type,Tipo de pago,نوع الدفع
User Wallet,User Wallet,Cartera de usuario,محفظة المستخدم
Full Mobile,Full Mobile,Móvil completo,الجوال كامل
Zip Code,Zip Code,Código postal,الرمز البريدي
Order Status,Order Status,Estado del pedido,حالة الطلب
N/A,N/A,N / A,لا يوجد
Date,Date,Fecha,تاريخ
Update Gateway,Update Gateway,Actualizar puerta de enlace,تحديث البوابة
Crypto,Crypto,Cripto,تشفير
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (Agregar dinero),إضافة بوابة تلقائية (إضافة أموال)
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Select Country,Select Country,Seleccionar país,اختر البلد
Select State,Select State,Seleccionar estado,اختر الدولة
Select City,Select City,Seleccionar ciudad,اختر المدينة
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Version,Version,Versión,إصدار
App Name,App Name,Nombre de la aplicación,اسم التطبيق
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات
PHP Version,PHP Version,Versión PHP,نسخة PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
Timezone,Timezone,Zona horaria,المنطقة الزمنية
Enable/Disable Money Out Features,Enable/Disable Money Out Features,Activar/desactivar funciones de retiro de dinero,تمكين/تعطيل ميزات تحويل الأموال
New Registration Bonus,New Registration Bonus,Nuevo Bono de Registro,مكافأة التسجيل الجديدة
Please click update button to make any changes,Please click update button to make any changes,Haga clic en el botón Actualizar para realizar cambios.,الرجاء الضغط على زر التحديث لإجراء أية تغييرات
Bonus,Bonus,Prima,علاوة
Amount_WEB,Amount_WEB,Monto_WEB,المبلغ_WEB
Level Packages,Level Packages,Paquetes de nivel,حزم المستوى
Require Refers,Require Refers,Requerir referencias,تتطلب المراجع
Require Invested Amount,Require Invested Amount,Requerir cantidad invertida,تتطلب المبلغ المستثمر
Commission,Commission,Comisión,عمولة
Add New Package For,Add New Package For,Agregar nuevo paquete para,إضافة باقة جديدة ل
Level,Level,Nivel,مستوى
Refer Commission,Refer Commission,Comisión de referencia,إحالة اللجنة
Users,Users,Usuarios,المستخدمين
Update Package Information,Update Package Information,Actualizar información del paquete,تحديث معلومات الحزمة
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Select Method,Select Method,Seleccionar método,حدد الطريقة
SMTP,SMTP,SMTP,SMTP
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Cifrado,التشفير
Email Body,Email Body,Cuerpo del correo electrónico,هيئة البريد الإلكتروني
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC
Page Name,Page Name,Nombre de la página,اسم الصفحة
Categories,Categories,Categorías,فئات
Add Category,Add Category,Agregar categoría,أضف فئة
Update Category,Update Category,Actualizar categoría,تحديث الفئة
Category,Category,Categoría,فئة
Select Category,Select Category,Seleccionar categoría,حدد الفئة
Tags,Tags,Etiquetas,العلامات
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان
Add Item,Add Item,Agregar artículo,إضافة عنصر
Edit Item,Edit Item,Editar artículo,تحرير العنصر
Section Title,Section Title,Título de la sección,عنوان القسم
Heading,Heading,Título,عنوان
Section Icon,Section Icon,Icono de sección,أيقونة القسم
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة الإعلانات
Total Category,Total Category,Categoría total,الفئة الإجمالية
Active Category,Active Category,Categoría activa,الفئة النشطة
Total Announcement,Total Announcement,Anuncio total,إعلان إجمالي
Active Announcement,Active Announcement,Anuncio activo,إعلان فعال
Login Heading,Login Heading,Iniciar sesión,عنوان تسجيل الدخول
Login Sub Heading,Login Sub Heading,Subtítulo de inicio de sesión,تسجيل الدخول العنوان الفرعي
Register Heading,Register Heading,Registro Encabezado,تسجيل العنوان
Register Sub Heading,Register Sub Heading,Registrar subtítulo,تسجيل العنوان الفرعي
Forgot Heading,Forgot Heading,Olvidé el rumbo,نسيت العنوان
Forgot Sub Heading,Forgot Sub Heading,Olvidé el subtítulo,نسيت العنوان الفرعي
Background Image,Background Image,Imagen de fondo,صورة الخلفية
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي
Button Name,Button Name,Nombre del botón,اسم الزر
Button Link,Button Link,Enlace de botón,رابط الزر
Button Icon,Button Icon,Icono de botón,رمز الزر
Edit banner item,Edit banner item,Editar elemento del banner,تحرير عنصر الشعار
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات
BG Image,BG Image,Imagen de fondo de pantalla,صورة بي جي
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Footer Text,Footer Text,Texto de pie de página,نص التذييل
Newsletter Heading,Newsletter Heading,Encabezado del boletín,عنوان النشرة الإخبارية
Support,Support,Apoyo,يدعم
Social Links,Social Links,Enlaces sociales,الروابط الاجتماعية
Link,Link,Enlace,وصلة
Edit Glance,Edit Glance,Editar vistazo,تحرير لمحة
Edit work item,Edit work item,Editar elemento de trabajo,تحرير عنصر العمل
Add Overview Item,Add Overview Item,Agregar elemento de descripción general,إضافة عنصر نظرة عامة
Edit Overview item,Edit Overview item,Editar elemento de descripción general,تحرير عنصر النظرة العامة
Edit Service,Edit Service,Editar servicio,تحرير الخدمة
Edit Solution,Edit Solution,Editar solución,تحرير الحل
Edit Why Choose Us item,Edit Why Choose Us item,Editar artículo ¿Por qué elegirnos?,تحرير عنصر لماذا تختارنا
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد للجميع
Ticket ID,Ticket ID,ID del billete,معرف التذكرة
Support Ticket,Support Ticket,Boleto de soporte,تذكرة الدعم
Sender Mail,Sender Mail,Correo del remitente,بريد المرسل
Receiver Mail,Receiver Mail,Correo del destinatario,بريد المتلقي
Receiver Will Get,Receiver Will Get,El receptor obtendrá,سوف يحصل المتلقي
Content,Content,Contenido,محتوى
Slug,Slug,Babosa,سبيكة
Add link,Add link,Agregar enlace,إضافة رابط
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات
Total Add Money,Total Add Money,Total agregar dinero,إجمالي إضافة المال
Canceled,Canceled,Cancelado,تم الإلغاء
Total Money Out,Total Money Out,Salida total de dinero,إجمالي الأموال الخارجة
Total Transfer Money,Total Transfer Money,Transferencia total de dinero,إجمالي تحويل الأموال
Total Invest Amount,Total Invest Amount,Monto total de inversión,إجمالي مبلغ الاستثمار
Total Orders,Total Orders,Órdenes totales,إجمالي الطلبات
Total Refers,Total Refers,Total de referencias,إجمالي المراجع
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Last Login,Last Login,Último inicio de sesión,تسجيل الدخول الأخير
Information of User,Information of User,Información del Usuario,معلومات المستخدم
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
Select Type,Select Type,Seleccionar tipo,حدد النوع
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد
Select User Wallet,Select User Wallet,Seleccionar billetera de usuario,حدد محفظة المستخدم
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين
Kyc Unverified,Kyc Unverified,Kyc no verificado,لم يتم التحقق من Kyc
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم
SL,SL,SL,إس إل
IP,IP,IP,الملكية الفكرية
MAC,MAC,IMPERMEABLE,ماك
Location,Location,Ubicación,موقع
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل
Login at,Login at,Inicia sesión en,تسجيل الدخول في
SEND,SEND,ENVIAR,يرسل
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة)
Joined Date,Joined Date,Fecha de incorporación,تاريخ الانضمام
Refers,Refers,Se refiere,يشير
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع
Site Name,Site Name,Nombre del sitio,اسم الموقع
Site Title,Site Title,Título del sitio,عنوان الموقع
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP
Seconds,Seconds,Artículos de segunda clase,ثواني
Web Version,Web Version,Versión Web,نسخة الويب
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Unauthorized,Unauthorized,No autorizado,غير مصرح به
Back To Home,Back To Home,Volver a casa,العودة إلى المنزل
Forbidden,Forbidden,Prohibido,مُحرَّم
Page Not Found,Page Not Found,Página no encontrada,لم يتم العثور على الصفحة
Page Expired,Page Expired,Página caducada,انتهت صلاحية الصفحة
Server Error,Server Error,Error del servidor,خطأ في الخادم
Public,Public,Público,عام
Send Message,Send Message,Enviar mensaje,أرسل رسالة
Recent Posts,Recent Posts,Publicaciones recientes,المشاركات الأخيرة
Create an Account,Create an Account,Crear una cuenta,إنشاء حساب
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين
Please enter your authorization code to access dashboard.,Please enter your authorization code to access dashboard.,Ingrese su código de autorización para acceder al panel.,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة التحكم.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.
Copyright,Copyright,Derechos de autor,حقوق الطبع والنشر
Y,Y,Y,ي
All Rights Reserved,All Rights Reserved,Reservados todos los derechos,جميع الحقوق محفوظة
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك
Home,Home,Hogar,بيت
Send OTP,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة
Back to,Back to,Volver a,العودة إلى
Set A New Password,Set A New Password,Establecer una nueva contraseña,قم بتعيين كلمة مرور جديدة
Kindly Enter your new secret key and get login access on your Dashboard.,Kindly Enter your new secret key and get login access on your Dashboard.,Ingrese amablemente su nueva clave secreta y obtenga acceso de inicio de sesión en su Panel de control.,يرجى إدخال مفتاحك السري الجديد والحصول على حق الوصول إلى تسجيل الدخول على لوحة التحكم الخاصة بك.
Confirm,Confirm,Confirmar,يتأكد
Login,Login,Acceso,تسجيل الدخول
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن
Don,Don,Don,اِتَّشَح
Referral,Referral,Remisión,الإحالة
I have agreed with,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
Terms Of Use,Terms Of Use,Condiciones de uso,شروط الاستخدام
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
Register Now,Register Now,Regístrese ahora,سجل الآن
Already Have An Account,Already Have An Account,Ya tienes una cuenta,لديك حساب بالفعل
User Name,User Name,Nombre de usuario,اسم المستخدم
KYC Information,KYC Information,Información KYC,معلومات KYC
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Please verify KYC information,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC
Mobile,Mobile,Móvil,متحرك
Delivery Charge,Delivery Charge,Cargo de entrega,رسوم التوصيل
History,History,Historia,تاريخ
Transaction,Transaction,Transacción,عملية
Security,Security,Seguridad,حماية
2FA Security,2FA Security,Seguridad 2FA,2FA الأمن
Logout,Logout,Cerrar sesión,تسجيل الخروج
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you,How can we help you,¿Cómo podemos ayudarte?,كيف يمكننا مساعدتك
Get Support,Get Support,Obtenga soporte,احصل على الدعم
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك
Add Money instructions,Add Money instructions,Instrucciones para agregar dinero,إضافة تعليمات المال
Add Money Form,Add Money Form,Agregar formulario de dinero,إضافة نموذج المال
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Select Gateway,Select Gateway,Seleccionar puerta de enlace,حدد البوابة
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح
Preview,Preview,Avance,معاينة
Request Amount,Request Amount,Monto solicitado,مبلغ الطلب
Fees,Fees,Honorarios,مصاريف
Total Payable,Total Payable,Total a pagar,مجموع المستحق الدفع
Will Get,Will Get,obtendrá,سوف تحصل
Add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال
View More,View More,Ver más,عرض المزيد
Add Money via,Add Money via,Agregar dinero mediante,أضف المال عبر
Rejected,Rejected,Rechazado,مرفوض
Unknown Status,Unknown Status,Estado desconocido,حالة غير معروفة
Fees & Charge,Fees & Charge,Tarifas y cargos,الرسوم والتكاليف
Plan,Plan,Plan,يخطط
Profit,Profit,Ganancia,ربح
Pay In Total,Pay In Total,Pagar en total,الدفع في المجموع
Received Amount,Received Amount,Monto recibido,المبلغ المستلم
Delivery Address,Delivery Address,Dirección de entrega,عنوان التسليم
Summary,Summary,Resumen,ملخص
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
Cash On Delivery,Cash On Delivery,Contra reembolso,الدفع عند الاستلام
Pay Now,Pay Now,Paga ahora,ادفع الآن
Purchase Plan,Purchase Plan,Plan de compra,خطة الشراء
Maximum Invest Amount,Maximum Invest Amount,Monto máximo de inversión,الحد الأقصى لمبلغ الاستثمار
Percent Profit,Percent Profit,Porcentaje de beneficio,الربح في المئة
Terms and Condition,Terms and Condition,Términos y condiciones,الشروط والأحكام
Purchase,Purchase,Compra,شراء
Profit (Percent),Profit (Percent),Beneficio (porcentaje),الربح (النسبة المئوية)
Purchase At,Purchase At,Compra en,الشراء عند
Expire At,Expire At,Caducar en,تنتهي عند
Running,Running,Correr,جري
No Data Found,No Data Found,No se encontraron datos,لم يتم العثور على بيانات
Fill up information and verify your KYC.,Fill up information and verify your KYC.,Complete la información y verifique su KYC.,املأ المعلومات وتحقق من KYC الخاص بك.
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول
Enter Last Name,Enter Last Name,Ingrese el apellido,أدخل الاسم الأخير
Change,Change,Cambiar,يتغير
Are you sure to delete your account,Are you sure to delete your account,¿Estás seguro de eliminar tu cuenta?,هل أنت متأكد من حذف حسابك
If you do not think you will use,If you do not think you will use,Si no crees que lo usarás,إذا كنت لا تعتقد أنك سوف تستخدم
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب""."
Delete Account,Delete Account,Eliminar cuenta,حذف الحساب
Disable,Disable,Desactivar,إبطال
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,أداة مصادقة جوجل
Download Google Authenticator App,Download Google Authenticator App,Descargue la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, usted",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية للتحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك، يمكنك
Total Invested,Total Invested,Total invertido,إجمالي الاستثمار
Current Position,Current Position,Posición actual,المنصب الحالي
Refer Code,Refer Code,Código de referencia,رمز الرجوع
Refer Link,Refer Link,Enlace de referencia,الرجوع الرابط
Account Level,Account Level,Nivel de cuenta,مستوى الحساب
Requirement,Requirement,Requisito,متطلبات
Refer,Refer,Referirse,يشير إلى
Invest,Invest,Invertir,يستثمر
Per Refer,Per Refer,Por referencia,لكل مرجع
Referral Users,Referral Users,Usuarios recomendados,مستخدمو الإحالة
Enter Name,Enter Name,Introduzca el nombre,أدخل الاسم
Enter Email,Enter Email,Ingrese el correo electrónico,أدخل البريد الإلكتروني
Enter Subject,Enter Subject,Ingresar Asunto,أدخل الموضوع
